Ciudad,Gravedad,Latitud,Longitud,Altitud
Quito,9.7724,-0.220164,-78.512327,2877
Montevideo,9.7964,-34.905904,-56.191357,21
Atlanta,9.7964,33.749099,-84.390185,309
Ciudad de Guatemala,9.7844,14.622233,-90.518519,1509
Boston,9.8039,42.360253,-71.058291,8
Chicago,9.8024,41.875562,-87.624421,175
Dallas,9.7949,32.776272,-96.796856,132
Detroit,9.8039,42.331551,-83.04664,183
Los Ángeles,9.7979,34.053683,-118.242767,102
Nueva York,9.8024,40.730862,-73.987156,13
Filadelfia,9.8024,39.952415,-75.163575,7
San Francisco,9.7994,37.779026,-122.419906,70
Caracas,9.7829,10.506098,-66.914602,1078
Buenos Aires,9.7979,-34.607562,-58.437076,25
La Paz,9.7844,-16.495637,-68.133635,3931
Brasilia,9.7889,-15.793404,-47.882308,1089
Montreal,9.8069,45.497216,-73.610364,59
Ottawa,9.8069,45.421106,-75.690308,58
Toronto,9.8054,43.653963,-79.387207,91
Vancuver,9.8099,49.260872,-123.113953,18
Santiago,9.7979,-33.437797,-70.650445,567
Bogota,9.7799,4.598077,-74.076103,2749
San Jose,9.7829,9.932543,-84.079578,1182
Ciudad de Mexico,9.7799,19.432601,-99.133342,2240
Ciudad de Panama,9.7814,8.971449,-79.534180,15
Lima,9.7829,-12.062106,-77.036526,161